id,country,car,currency
1,FR,Buick,EUR
2,DO,Plymouth,DOP
3,NZ,Ford,NZD
4,RU,Suzuki,RUB
5,FR,Infiniti,EUR
6,PL,Chevrolet,PLN
7,AZ,Mazda,AZN
8,JP,Buick,JPY
9,SY,Infiniti,SYP
10,CO,Pontiac,COP
11,LB,Chevrolet,LBP
12,ID,Toyota,IDR
13,PT,Toyota,EUR
14,FI,GMC,EUR
15,AR,Isuzu,ARS
16,UA,Porsche,UAH
17,CN,Hyundai,CNY
18,KE,GMC,KES
19,CN,Mitsubishi,CNY
20,CN,Chevrolet,CNY
21,TD,Ford,XAF
22,BR,Dodge,BRL
23,PH,Volkswagen,PHP
24,BR,Buick,BRL
25,UA,BMW,UAH
26,ID,Lincoln,IDR
27,PL,Chevrolet,PLN
28,NE,Toyota,XOF
29,ID,Ford,IDR
30,ID,Acura,IDR
31,CN,Porsche,CNY
32,ID,Nissan,IDR
33,PH,Isuzu,PHP
34,PL,Volkswagen,PLN
35,PT,Alfa Romeo,EUR
36,US,Pontiac,USD
37,KZ,Toyota,KZT
38,NA,Saturn,NAD
39,CN,Lincoln,CNY
40,PH,Nissan,PHP
41,CA,Pontiac,CAD
42,AR,Ford,ARS
43,BR,Buick,BRL
44,MX,Mazda,MXN
45,CN,Shelby,CNY
46,RU,Infiniti,RUB
47,PK,Suzuki,PKR
48,FI,Maybach,EUR
49,UA,Toyota,UAH
50,GB,Land Rover,GBP
51,CN,Chrysler,CNY
52,CO,Ford,COP
53,BR,Saturn,BRL
54,CN,Volkswagen,CNY
55,PT,Lexus,EUR
56,AR,Ford,ARS
57,CN,Buick,CNY
58,LR,Chevrolet,LRD
59,FR,Pontiac,EUR
60,CO,Mitsubishi,COP
61,LR,BMW,LRD
62,TN,Acura,TND
63,HR,Volkswagen,HRK
64,US,Mercedes-Benz,USD
65,CN,Mitsubishi,CNY
66,ID,Chrysler,IDR
67,TT,BMW,TTD
68,CN,Subaru,CNY
69,NE,Toyota,XOF
70,PT,Jeep,EUR
71,CA,Suzuki,CAD
72,FR,Volkswagen,EUR
73,PT,Infiniti,EUR
74,CN,Saab,CNY
75,PH,GMC,PHP
76,CN,Lexus,CNY
77,CI,Maybach,XOF
78,CN,Chevrolet,CNY
79,PT,Mitsubishi,EUR
80,UA,Ford,UAH
81,PL,Lincoln,PLN
82,CN,Pontiac,CNY
83,KM,Land Rover,KMF
84,PE,Ford,PEN
85,CZ,Audi,CZK
86,CN,Pontiac,CNY
87,RU,Acura,RUB
88,MX,Ford,MXN
89,CN,Chrysler,CNY
90,UA,Ford,UAH
91,CU,Kia,CUP
92,CN,Mazda,CNY
93,PE,Mazda,PEN
94,CA,Land Rover,CAD
95,RU,Ford,RUB
96,BR,Ford,BRL
97,PT,Ford,EUR
98,CN,Ford,CNY
99,UY,Aston Martin,UYU
100,ID,Chevrolet,IDR
101,PS,Chevrolet,ILS
102,JP,Dodge,JPY
103,IE,Dodge,EUR
104,EG,GMC,EGP
105,ID,Mazda,IDR
106,FI,Mitsubishi,EUR
107,RU,Nissan,RUB
108,PT,Bentley,EUR
109,CN,Chevrolet,CNY
110,GR,Pontiac,EUR
111,TT,Mazda,TTD
112,PH,Mercedes-Benz,PHP
113,AF,Volkswagen,AFN
114,CZ,Buick,CZK
115,TH,Volvo,THB
116,BR,Toyota,BRL
117,TH,Ford,THB
118,PH,Nissan,PHP
119,AM,Nissan,AMD
120,RU,Mazda,RUB
121,GB,Chrysler,GBP
122,ZA,Mercedes-Benz,ZAR
123,CN,Ford,CNY
124,CZ,Nissan,CZK
125,CN,Scion,CNY
126,XK,Chrysler,EUR
127,CN,Audi,CNY
128,BA,BMW,BAM
129,ID,Infiniti,IDR
130,AF,Volkswagen,AFN
131,YT,Ford,EUR
132,ET,Mitsubishi,ETB
133,RU,Mazda,RUB
134,MK,Volkswagen,MKD
135,PE,Hyundai,PEN
136,PH,Chrysler,PHP
137,PH,Mercedes-Benz,PHP
138,TD,Infiniti,XAF
139,RS,Lexus,RSD
140,PH,Oldsmobile,PHP
141,PA,Infiniti,PAB
142,CN,Ford,CNY
143,PH,Dodge,PHP
144,GT,Infiniti,GTQ
145,AM,Hyundai,AMD
146,ID,Land Rover,IDR
147,SE,Maserati,SEK
148,YE,Buick,YER
149,MK,Land Rover,MKD
150,BR,Hyundai,BRL
151,FR,Mazda,EUR
152,CN,Lexus,CNY
153,CN,Mitsubishi,CNY
154,ER,Dodge,ERN
155,ID,GMC,IDR
156,CN,Porsche,CNY
157,JP,Honda,JPY
158,ID,Honda,IDR
159,CN,Ford,CNY
160,PT,Mazda,EUR
161,CN,Nissan,CNY
162,BR,Chevrolet,BRL
163,CZ,Lotus,CZK
164,ID,Toyota,IDR
165,CD,Dodge,CDF
166,PH,Lincoln,PHP
167,ID,Chevrolet,IDR
168,SE,Acura,SEK
169,PL,Audi,PLN
170,MX,Ford,MXN
171,ID,Mazda,IDR
172,CN,Mercedes-Benz,CNY
173,VN,Ford,VND
174,ID,Dodge,IDR
175,MN,Porsche,MNT
176,KP,BMW,KPW
177,ID,Mercedes-Benz,IDR
178,BR,Mercury,BRL
179,CN,Ford,CNY
180,PH,Toyota,PHP
181,KP,Mercedes-Benz,KPW
182,CN,Volvo,CNY
183,CN,Mercedes-Benz,CNY
184,ET,Mercury,ETB
185,NZ,Acura,NZD
186,PH,Pontiac,PHP
187,ER,Hyundai,ERN
188,CN,Jaguar,CNY
189,TD,Chevrolet,XAF
190,CN,Toyota,CNY
191,CN,Hyundai,CNY
192,SV,BMW,USD
193,RU,Mitsubishi,RUB
194,TZ,Ford,TZS
195,BR,Spyker,BRL
196,MA,Land Rover,MAD
197,CN,Toyota,CNY
198,BR,Mercedes-Benz,BRL
199,AL,Dodge,ALL
200,PT,BMW,EUR
201,MX,Chevrolet,MXN
202,FR,Volkswagen,EUR
203,RU,Audi,RUB
204,BR,Mazda,BRL
205,BR,Jaguar,BRL
206,TN,Chevrolet,TND
207,CN,Volkswagen,CNY
208,JP,Lincoln,JPY
209,BR,Dodge,BRL
210,CN,Mazda,CNY
211,CN,Chevrolet,CNY
212,CN,Toyota,CNY
213,CN,Pontiac,CNY
214,ID,Isuzu,IDR
215,HR,Infiniti,HRK
216,SN,Kia,XOF
217,IL,Mercury,ILS
218,SI,Bentley,EUR
